Equation, Degree, Coefficients, Number of points, Epsilon, Connected components
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,250,0.15,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,500,0.3,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,500,0.25,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,500,0.2,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,500,0.15,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,750,0.2,1
324*u**2 + 144*u*v - 72*u + 16*v**2 - 16*v + 4,2,572.0,750,0.1,1
-46*u - 15*v + 39*w - 3,1,100.0,250,0.3,16
-46*u - 15*v + 39*w - 3,1,100.0,250,0.25,15
-46*u - 15*v + 39*w - 3,1,100.0,250,0.2,24
-46*u - 15*v + 39*w - 3,1,100.0,250,0.15,21
-46*u - 15*v + 39*w - 3,1,100.0,250,0.1,42
-46*u - 15*v + 39*w - 3,1,100.0,500,0.3,27
-46*u - 15*v + 39*w - 3,1,100.0,500,0.25,21
-46*u - 15*v + 39*w - 3,1,100.0,500,0.2,27
-46*u - 15*v + 39*w - 3,1,100.0,500,0.15,43
-46*u - 15*v + 39*w - 3,1,100.0,500,0.1,49
-46*u - 15*v + 39*w - 3,1,100.0,750,0.3,34
-46*u - 15*v + 39*w - 3,1,100.0,750,0.25,24
-46*u - 15*v + 39*w - 3,1,100.0,750,0.2,49
-46*u - 15*v + 39*w - 3,1,100.0,750,0.15,55
-46*u - 15*v + 39*w - 3,1,100.0,750,0.1,48
-46*u - 15*v + 39*w - 3,1,100.0,1000,0.3,33
-46*u - 15*v + 39*w - 3,1,100.0,1000,0.25,42
-46*u - 15*v + 39*w - 3,1,100.0,1000,0.2,52
-46*u - 15*v + 39*w - 3,1,100.0,1000,0.15,54
-46*u - 15*v + 39*w - 3,1,100.0,1000,0.1,74
42*u - 9*v - 34*w**3 + 2,3,85.0,250,0.3,65
42*u - 9*v - 34*w**3 + 2,3,85.0,250,0.25,82
